date,runoff,soilstore,snowpack,meltwater,T,P,PET
1993-04-04,0.0673104000252463,480.21950692629736,244.42853366453951,0.0,-3.966052922816573,2.738169462644398,0.1134902665301488
1993-04-05,0.0648155946027786,480.1076377996057,245.52904370246023,0.0,-3.460243272131322,1.6061889426178717,0.1710166286358088
1993-04-06,0.0624132571212775,480.1076377996057,252.41207220436084,0.0,-5.856388627775345,10.045745963720588,0.0
1993-04-07,0.0600999603314555,480.1020295162895,252.41207220436084,0.0,-4.924550757988982,0.0,0.0085754954399312
1993-04-08,0.0578724040122422,480.0949868119433,252.41207220436084,0.0,-4.906313566977815,0.0,0.0107689610344895
1993-04-09,0.0557274102625864,480.0949868119433,252.41207220436084,0.0,-6.924231010795097,0.0,0.0
1993-04-10,0.0536619189677636,480.0949868119433,252.41207220436084,0.0,-6.074733165761472,0.0,0.0
1993-04-11,0.0516729834337215,480.0949868119433,252.41207220436084,0.0,-7.393402403358664,0.0,0.0
1993-04-12,0.0497577661832345,479.9346433845165,252.41207220436084,0.0,-2.957360556075912,0.0,0.2451838622407374
1993-04-13,0.054812062014377,479.9696370505704,250.9401425254657,1.4719296788951208,-0.2124763831753853,1.169465163919245,0.5806594976195807
1993-04-14,0.0634578161433488,479.9696370505704,250.9750647210096,1.4370074833512478,-7.491301427729013,0.0,0.0
1993-04-15,0.0665956413669519,479.9696370505704,252.1576012481707,1.406982600075677,-6.511838974068496,1.6820850286334403,0.0
1993-04-16,0.0679698039229776,479.9696370505704,252.20156856907624,1.3630152791701773,-9.30032650005444,0.0,0.0
1993-04-17,0.0665074194872015,479.9696370505704,252.2301249971666,1.3344588510797912,-6.218147937031631,0.0,0.0
1993-04-18,0.0640435819667591,479.8914012999426,252.95354979518203,1.3166887604441744,-4.0608804460777606,1.029899545887946,0.1196628602517125
1993-04-19,0.0616698585079029,479.7939340883145,253.5314553789328,1.300019382975802,-3.840737812628902,0.819121459746682,0.1491019982548721
1993-04-20,0.0593841151851678,479.3363605959361,249.028933391296,5.802541370612611,0.3936420785729524,0.0,0.7001224354290644
1993-04-21,0.0571830910861156,479.0690599554314,249.0357716191286,5.79570314277995,-1.8745078854866504,0.0,0.4093808427015477
1993-04-22,0.0550636461613849,478.8797762397017,249.0472624436616,5.78421231824697,-2.805027225550475,0.0,0.2900567788524552
1993-04-23,0.0530227567449983,478.80478414661513,249.0654159180964,5.766058843812117,-4.137557205924907,0.0,0.1149626772429655
1993-04-24,0.0510575112407079,478.652777586616,250.56224418448767,5.752261061372704,-3.2664188068370663,2.164475636577797,0.2330621454264952
1993-04-25,0.0491651059682202,478.6102919918636,252.70138541974012,5.732198638789287,-4.519346835638089,3.0927850180043954,0.0651611903379898
1993-04-26,0.0473428411633801,478.4812034940872,254.442576719642,5.716976100943622,-3.551369888087379,2.5190428486742182,0.1980037447046646
1993-04-27,0.0455881171266023,478.18910357499067,254.9314251753449,5.710773404595902,-1.747401588498292,0.7044190922078426,0.4481613970450526
1993-04-28,0.0438984305140598,477.8844177700064,257.3392092509889,5.7051487426015415,-1.6317947178269492,3.505939751262245,0.4677571513990742
